requested_density,run,initial_population,initial_susceptible,final_susceptible,final_recovered,final_healthy_density,mortality_fraction,infection_episodes,infection_episodes_per_initial_population,peak_infectious,peak_prevalence,duration_generations,time_to_peak,wave_count,resurgence_count
30.0,28,78738.0,78726.0,78735.0,0.0,0.3003501892089844,3.810104396860474e-05,108.0,0.0013716375828697,31.0,0.0003937107876755,410.0,11.0,0,0
30.0,29,78848.0,78836.0,78847.0,0.0,0.3007774353027344,1.2682629870129873e-05,22.0,0.0002790178571428,14.0,0.0001775568181818,119.0,16.0,0,0
30.0,30,78918.0,78906.0,78917.0,1.0,0.3010482788085937,0.0,81.0,0.0010263818140348,43.0,0.0005448693580678,119.0,14.0,0,0
35.0,1,92052.0,92040.0,92048.0,1.0,0.3511390686035156,3.259027506192152e-05,258.0,0.0028027636553252,76.0,0.0008256203015686,204.0,22.0,0,0
35.0,2,91715.0,91703.0,91712.0,1.0,0.3498573303222656,2.1806683748568937e-05,143.0,0.0015591778880226,57.0,0.0006214904868342,195.0,21.0,0,0
35.0,3,91777.0,91765.0,91776.0,1.0,0.3501014709472656,0.0,70.0,0.0007627183281214,40.0,0.0004358390446408,119.0,9.0,0,0
35.0,4,92044.0,92032.0,92044.0,0.0,0.3511199951171875,0.0,33.0,0.0003585241840858,21.0,0.0002281517535091,119.0,3.0,0,0
35.0,5,91997.0,91985.0,91994.0,0.0,0.3509292602539062,3.2609759013880887e-05,152.0,0.0016522277900366,49.0,0.0005326260638933,272.0,28.0,0,0
35.0,6,91737.0,91725.0,91735.0,0.0,0.3499412536621094,2.180145415699227e-05,143.0,0.0015588039722249,35.0,0.0003815254477473,404.0,22.0,0,0
35.0,7,91796.0,91784.0,91792.0,0.0,0.35015869140625,4.357488343718681e-05,170.0,0.0018519325460804,67.0,0.0007298792975728,163.0,36.0,0,0
35.0,8,92247.0,92235.0,92238.0,2.0,0.35186767578125,7.58832265547931e-05,422.0,0.0045746745151603,112.0,0.0012141316248766,290.0,38.0,0,0
35.0,9,91832.0,91820.0,91832.0,0.0,0.350311279296875,0.0,72.0,0.0007840404216395,36.0,0.0003920202108197,119.0,23.0,0,0
35.0,10,91805.0,91793.0,91804.0,0.0,0.3502044677734375,1.0892652905615162e-05,186.0,0.0020260334404444,72.0,0.0007842710092042,146.0,23.0,0,0
35.0,11,92138.0,92126.0,92136.0,0.0,0.351470947265625,2.170657057891424e-05,115.0,0.0012481278082875,43.0,0.0004666912674466,216.0,37.0,0,0
