requested_density,run,initial_fuel,final_fuel,burned_fuel,burn_fraction,duration_generations,peak_active_fire,peak_active_fraction,time_to_peak,max_burn_rate,dynamic_frames,initial_grass,burned_grass_fraction,initial_bush,burned_bush_fraction,initial_tree,burned_tree_fraction
60.0,21,158025.0,157976.0,49.0,0.000310077519379845,10.0,25.0,0.00015820281601012498,1.0,8.226546432526499e-05,11,52719.0,0.0006259602799749616,52449.0,0.0002097275448530954,52857.0,9.459485025635204e-05
60.0,22,156799.0,156786.0,13.0,8.290869201971951e-05,7.0,18.0,0.0001147966504888424,2.0,2.5510366775298312e-05,8,52248.0,0.00017225539733578318,52265.0,3.8266526356070027e-05,52286.0,3.82511570975022e-05
60.0,23,157406.0,157359.0,47.0,0.0002985909050480922,8.0,28.0,0.00017788394343290598,2.0,6.988297777721307e-05,9,52271.0,0.000516538807369287,52435.0,0.0002860684657194622,52700.0,9.487666034155598e-05
60.0,24,157421.0,157387.0,34.0,0.0002159813493752422,8.0,22.0,0.00013975263783103906,2.0,5.081914102946875e-05,9,52742.0,0.00036024420765234537,52341.0,0.0001910548136260293,52338.0,9.553288241812832e-05
60.0,25,157541.0,157506.0,35.0,0.00022216438895271708,9.0,21.0,0.00013329863337163025,1.0,5.7127985730698676e-05,10,52621.0,0.0003420687558199198,52484.0,0.0002858013870893987,52436.0,3.8141734686093524e-05
60.0,26,157401.0,157376.0,25.0,0.00015882999472684417,9.0,19.0,0.00012071079599240158,2.0,3.8119198734442604e-05,10,52933.0,0.000283377099352011,52089.0,9.598955633627061e-05,52379.0,9.545810343840089e-05
60.0,27,157462.0,157443.0,19.0,0.00012066403322706431,6.0,20.0,0.00012701477181796243,1.0,5.080590872718497e-05,7,52455.0,0.0001906395958440568,52502.0,9.523446725839016e-05,52505.0,7.618322064565279e-05
60.0,28,157109.0,157096.0,13.0,8.274510053529715e-05,3.0,19.0,0.00012093514693620353,2.0,3.819004640090638e-05,4,52653.0,0.0001329458910223539,52083.0,7.680049152314575e-05,52373.0,3.818761575621026e-05
60.0,29,156867.0,156809.0,58.0,0.000369739970803292,11.0,24.0,0.00015299584998756908,2.0,5.099861666252303e-05,12,52265.0,0.0005739978953410505,52205.0,0.00036394981323628004,52397.0,0.00017176555909689486
60.0,30,157125.0,157090.0,35.0,0.00022275258552108195,6.0,21.0,0.00013365155131264916,2.0,5.727923627684964e-05,7,52217.0,0.0003447153225960894,52327.0,0.00019110593001700843,52581.0,0.00013312793594644453
